,,,,,BG,Canada,,Req Category Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BU,GRS,,,Defined by Corporate as required for IFRS 17 or Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Source System,GLOBAL,,,Additional attributes required by BU for reporting or accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PR Key,YL.TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Feed Type:,New reference data,,,,,,,,,,,,,,,,If Attribute is Derived: Fill in Data Quality Dimensions for Attributes Involved in Derivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,If Attribute Sent in Feed: Fill in Future State Data Quality Dimensions for Attribute,,,,,,,,Attribute 1,,,,,,,,,,Attribute 2,,,,,,,,,,Attribute 3,,,,,,,,,,Attribute 4,,,,,,,,,,Attribute 5,,,,,,,,,,Attribute 6,,,,,,,,,,Attribute 7,,,,,,,,,,Attribute 8,,,,,,,,,,Attribute 9,,,,,,,,,,Attribute 10,,,,,,,,,
BG,BU,Source System,PR Key,Feed Type:,Type Name,Financial Reporting Requirements,Sum of Attributes Used,Req category,Detailed Category (for Additional Attributes only),Assumed Strategy to Meet Requirements (for IFRS 17 reporting requirements / GL Accounting only),BU Proposed Strategy to Meet Requirements,"If requirement will be derived, has business logic been defined?","If requirement will be derived, what reference data / mapping tables are required?","Attribute Name (name on file layout, if available)",Attribute Definition (if net new data attribute),Data Type,"If Date, what is layout?",Data Length,Nullable?,Concatenated?,What attributes are concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?,Attribute Name,Attribute Definition (if net new data attribute),Strategy to Obtain Attribute,"If attribute will be derived, has business logic been defined?","If attribute will be derived, what reference data / mapping tables are required?",Data Type,"If Date, what is Layout?",Data Length,Nullable?,Concatenated?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,GRS,Global,YL.TXT,New reference data,New GRS Reference data,PAS SYSTEM IDENTIFIER,,Additional Reporting,,,Attribute in feed,Not Derived,,PRKEY,,Alphanumeric,,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,GRS,Global,YL.TXT,New reference data,New GRS Reference data,AGENT NUMBER,,Additional Reporting,,,Attribute in feed,Not Derived,,AGENT NUMBER,,Alphanumeric,,6,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
